OBJECTID,WARD,ADDNUM,ADDSTR,LTLOCATION,RDLOCATION,OWNERSHIP,PARK,SPECIES,DBH,TREATMENT,EABTAGNUMB,DEDTAGNUMB
1640,11,1090,CUMMINGS AVE,Front,N/A,Joint,0,Elm American,50,,0,0
1646,11,1209,MICHAEL ST,Side,Median,City,0,Hackberry,6,,0,0
1647,11,1209,MICHAEL ST,Side,Median,City,0,Hackberry,6,,0,0
1664,13,100,BRAEMAR ST,Side,N/A,Joint,0,Pine Red,27,,0,0
1672,13,100,BRAEMAR ST,Side,N/A,City,0,Pine Red,38,,0,0
1679,13,100,BRAEMAR ST,Side,N/A,City,0,Pine Red,32,,0,0
1684,13,100,BRAEMAR ST,Side,N/A,City,0,Pine Red,31,,0,0
1694,11,7,CROWNHILL ST,Front,N/A,City,0,Beech American,27,,0,0
1697,11,49,STEEL ST,Front,N/A,City,0,Oak Red,6,,0,0
1703,11,35,STEEL ST,Front,N/A,City,0,Hackberry,6,,0,0
1708,11,23,STEEL ST,Front,N/A,City,0,Locust Honey,6,,0,0
1728,11,1372,OGDEN ST,Side,N/A,City,0,Ash White,48,,0,0
1729,11,1365,OGDEN ST,Front,N/A,City,0,Ash White,63,,0,0
1733,11,1361,MATHESON RD,Front,N/A,Joint,0,Ash Species,51,,0,0
1761,11,1165,ELMLEA DR,Front,N/A,City,0,Maple Norway,4,,0,0
1766,11,1157,ELMLEA DR,Front,N/A,City,0,Maple Red,8,,0,0
1779,11,30,SEGUIN ST,Front,N/A,City,0,Maple Norway,57,,0,0
1781,11,32,SEGUIN ST,Front,N/A,City,0,Birch White,19,,0,0
1798,11,2002,WOODWAY AVE,Side,N/A,City,0,Ash White,44,,0,0
1802,11,604,DUFF CRES,Front,N/A,City,0,Spruce White,25,,0,0
1805,11,562,RIVERSHORE CRES,Front,N/A,City,0,Maple Red,48,,0,0
1815,11,2006,HOLLYBROOK CRES,Front,N/A,City,0,Maple Red,46,,0,0
1816,11,2006,HOLLYBROOK CRES,Front,N/A,City,0,Spruce White,25,,0,0
1823,11,1044,ADLEY RD,Front,N/A,City,0,Pine Scotch,22,,0,0
1859,11,1329,RAINBOW CRES,Front,N/A,City,0,Ash Species,43,,0,0
1867,13,95,PLACEL RD,Side,N/A,City,0,Various Species,0,,0,0
1869,13,70,LAKEWAY DR,Side,N/A,City,0,Birch Gray,145,,0,0
1873,13,65,LAKEWAY DR,Front,N/A,City,0,Maple Norway,58,,0,0
1875,13,65,LAKEWAY DR,Front,N/A,City,0,Spruce White,45,,0,0
1900,11,2239,FILLMORE CRES,Front,N/A,City,0,Birch White,65,,0,0
1903,11,2189,FILLMORE CRES,Front,N/A,City,0,Spruce White,46,,0,0
1912,13,100,BRAEMAR ST,Side,N/A,City,0,Spruce Colorado,12,,0,0
1916,11,889,ELMSMERE RD,Side,N/A,City,0,Spruce White,36,,0,0
1922,11,1769,CLOVERLAWN CRES,Front,N/A,Joint,0,Pine Red,33,,0,0
1925,11,1851,CLOVERLAWN CRES,Front,N/A,City,0,Birch White,40,,0,0
1935,13,55,LAKEWAY DR,Front,N/A,City,0,Cedar  Eastern White,14,,0,0
1940,13,50,LAKEWAY DR,Front,N/A,City,0,Serviceberry,16,,0,0
1941,13,50,LAKEWAY DR,Front,N/A,City,0,Serviceberry,8,,0,0
1945,13,45,LAKEWAY DR,Front,N/A,City,0,Oak Red,9,,0,0
1948,13,35,LAKEWAY DR,Front,N/A,City,0,Pine White,10,,0,0
1959,13,95,PLACEL RD,Front,N/A,City,0,Crabapple Species,41,,0,0
1963,13,89,PLACEL RD,Front,N/A,City,0,Cedar  Eastern White,48,,0,0
1969,13,83,PLACEL RD,Front,N/A,City,0,Cedar  Eastern White,42,,0,0
1970,13,83,PLACEL RD,Front,N/A,City,0,Crabapple Species,6,,0,0
1975,13,77,PLACEL RD,Front,N/A,City,0,Cedar  Eastern White,32,,0,0
1982,11,1244,MICHAEL ST,Front,Median,City,0,Crabapple Species,20,,0,0
1990,11,1848,CLOVERLAWN CRES,Front,N/A,City,0,Spruce White,27,,0,0
2002,11,1087,LAPORTE ST,Front,N/A,Joint,0,Maple Silver,34,,0,0
2005,11,1015,LAPORTE ST,Front,N/A,Joint,0,Spruce White,12,,0,0
2013,11,1058,LAPORTE ST,Front,N/A,City,0,Birch White,6,,0,0
2015,11,2166,EAST ACRES RD,Front,N/A,City,0,Crabapple Species,15,,0,0
2052,11,9,BLOSSOMFIELD CRT,Side,N/A,City,0,Spruce Colorado,8,,0,0
2057,11,11,BLOSSOMFIELD CRT,Rear,N/A,City,0,Maple Sugar,6,,0,0
2062,11,1384,ALBORO CRES,Front,N/A,City,0,Maple Norway,11,,0,0
2067,11,1241,SILVESTRI CRES,Front,N/A,City,0,Ash White,16,,0,0
2072,11,1376,CHICORY PL,Rear,Boulevard,City,0,Locust Honey,5,,0,0
2074,11,1384,CHICORY PL,Rear,Boulevard,City,0,Hackberry,5,,0,0
2092,11,1320,RAINBOW CRES,Front,N/A,City,0,Ash Species,59,,0,0
2093,11,1340,RAINBOW CRES,Front,N/A,City,0,Ash Species,49,,0,0
2102,11,2232,FILLMORE CRES,Side,N/A,City,0,Maple Red,38,,0,0
2104,11,1401,BLAIR PL,Front,Median,City,0,Linden Littleleaf,22,,0,0
2106,11,984,MISS OTTAWA ST,Front,N/A,Joint,0,Maple Manitoba,65,,0,0
2113,11,110,MILLGREEN CRES,Front,N/A,City,0,Hackberry,11,,0,0
2119,11,132,MILLGREEN CRES,Front,N/A,City,0,Maple Norway,8,,0,0
2137,11,1893,GREENACRE CRES,Front,N/A,Joint,0,Maple Red,60,,0,0
2141,11,1859,GREENACRE CRES,Front,N/A,Joint,0,Birch White,65,,0,0
2142,11,1841,GREENACRE CRES,Front,N/A,Joint,0,Ash Species,90,,0,0
2148,11,4591,OGILVIE WALK CRES,Side,N/A,City,0,Spruce White,6,,0,0
2151,11,730,STILES CRES,Front,N/A,City,0,Maple Red,18,,0,0
2153,11,1436,RAINBOW CRES,Front,N/A,City,0,Ash Species,53,,0,0
2180,11,1361,OGDEN ST,Front,N/A,City,0,,0,,0,0
2187,11,13,ELVINA ST,Front,N/A,City,0,Maple Silver,61,,0,0
2189,11,11,ELVINA ST,Front,N/A,City,0,Maple Silver,87,,0,0
2190,11,4441,HARPER AVE,Front,N/A,Joint,0,Ash Species,8,,0,0
2201,11,26,ELVINA ST,Front,N/A,City,0,Maple Silver,100,,0,0
2209,11,740,STILES CRES,Front,N/A,City,0,Maple Red,54,,0,0
2211,11,748,STILES CRES,Front,N/A,City,0,Spruce Colorado,18,,0,0
2215,11,754,STILES CRES,Front,N/A,City,0,Locust Honey,11,,0,0
2229,11,826,EASTVALE DR,Front,N/A,City,0,Maple Red,36,,0,0
2233,11,2166 un,LOYOLA AVE,Front,N/A,City,0,Ash Species,44,,0,0
2235,11,837,EASTVALE DR,Front,N/A,City,0,Spruce White,34,,0,0
2239,11,760,STILES CRES,Front,N/A,City,0,Spruce White,35,,0,0
2240,11,760,STILES CRES,Front,N/A,City,0,Maple Red,66,,0,0
2245,11,751,STILES CRES,Front,N/A,Joint,0,Maple Red,73,,0,0
2246,11,749,STILES CRES,Front,N/A,City,0,Maple Red,43,,0,0
2253,11,729,STILES CRES,Front,N/A,City,0,Birch White,48,,0,0
2256,11,2161,BICKERTON AVE,Front,N/A,City,0,Pine Scotch,29,,0,0
2258,11,2029,QUINCY AVE,Front,N/A,City,0,Crabapple Species,22,,0,0
2270,13,25,WESTWARD WAY,Front,N/A,City,0,Maple Red,7,,0,0
2277,13,30,WESTWARD WAY,Front,N/A,City,0,Serviceberry,4,,0,0
2280,13,35,WESTWARD WAY,Front,N/A,City,0,Crabapple Species,13,,0,0
2293,13,55,PLACEL RD,Front,N/A,City,0,Ash Species,18,,0,0
2295,13,55,PLACEL RD,Front,N/A,City,0,Maple Sugar,64,,0,0
2307,13,20,WESTWARD WAY,Front,N/A,City,0,Oak Red,61,,0,0
2311,13,20,WESTWARD WAY,Front,N/A,City,0,Maple Sugar,69,,0,0
2325,11,2009,QUINCY AVE,Front,N/A,City,0,Spruce White,27,,0,0
2328,11,2003,QUINCY AVE,Front,N/A,City,0,Maple Red,80,,0,0
2340,11,1028,MISS OTTAWA ST,Front,N/A,City,0,Spruce Colorado,30,,0,0
2343,11,985,MISS OTTAWA ST,Front,N/A,City,0,Fir Balsam,3,,0,0
2369,11,799,DE SALABERRY ST,Front,N/A,City,0,Maple Red,10,,0,0
2374,11,2172,EMARD CRES,Front,N/A,City,0,Spruce Colorado,39,,0,0
